Apple ID Number,Student Verification Result,Student Verification Date,Country,Device User Agent String
405952270,True,2016-11-09T16:51:30Z,,
405952270,"{""verified"":""true"",""expiring"":""false""}",2018-07-31T16:37:44Z,United States,iTunes/12.8 (Windows; Microsoft Windows 10 x64 (Build 17134); x64) AppleWebKit/7605.3008.0.20 (dt:2)
