Apple ID Number,Subscription Initiated Date,Content Type,Item Reference Number,Item Description,Seller,Container Reference Number,Container Description,Device Identifier,Device IP Address,Device Details,Automatic Renewal?,Last Automatic Renewal Disabled Date,Last Automatic Renewal Enabled Date
405952270,2020-04-04T00:10:42Z,Arcade Subscription,1479623483,Apple Arcade Monthly,Apple Inc.,915061776,App Store,6C96CFD93F65,73.232.114.111,MacAppStore/3.0 (Macintosh; OS X 10.15.4; 19E266) AppleWebKit/5609.1.20.111.8 CommerceKit/709.6.5,No,2020-05-05T14:16:37Z,2020-05-03T16:10:52Z
405952270,2020-03-28T18:51:34Z,In-App Subscription,1441293060,PictureThis Premium,Glority Global Group Ltd.,1252497129,PictureThis - Plant Identifier,00008020-00160D100268002E,73.232.114.111,"itunesstored/1.0 iOS/13.3.1 model/iPhone11,2 hwp/t8020 build/17D50 (6; dt:185)",No,2020-03-28T18:55:44Z,2020-03-28T18:51:34Z
405952270,2020-02-25T19:36:21Z,In-App Subscription,1468603762,Annual Subscription,Headspace Inc.,493145008,Headspace: Meditation & Sleep,00008020-00160D100268002E,2600:1005:b042:a57b:897:13cc:3468:2b65,"itunesstored/1.0 iOS/13.3.1 model/iPhone11,2 hwp/t8020 build/17D50 (6; dt:185)",No,2020-02-28T03:06:35Z,2020-02-25T19:36:21Z
405952270,2019-11-12T12:52:20Z,In-App Subscription,1013965454,Monthly Plex Pass,Plex Inc.,383457673,"Plex: Movies, TV, Music + more",00008020-00160D100268002E,213.174.99.136,"itunesstored/1.0 iOS/13.1.3 model/iPhone11,2 hwp/t8020 build/17A878 (6; dt:185)",No,2019-12-09T22:08:29Z,2019-11-12T12:52:20Z
405952270,2019-05-19T13:05:18Z,In-App Subscription,1384818321,20 Recordings/100 GB Storage,"MediaMall Technologies, Inc.",1057374225,PlayOn Cloud - Streaming DVR,00008020-00160D100268002E,136.55.182.3,"itunesstored/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)",No,2019-05-19T13:12:26Z,2019-05-19T13:05:18Z
405952270,2015-08-08T17:37:37Z,Apple Music Subscription,1110451842,Apple Music Student Membership,Apple Inc.,,,a10ac19044e8c97f10b63016e693ec62e5c37ade,70.199.225.58,"Music/2.0 iOS/8.4 model/iPhone6,1 build/12H143 (6; dt:89)",Yes,2015-08-08T17:38:55Z,2020-06-09T07:59:25Z
