Apple ID Number,Item Purchased Date,Content Type,Item Reference Number,Item Description,Seller,Container Reference Number,Container Description,Invoice Item Total,Device Identifier,Device Details,Device IP Address,Refund Amount,Document Number,Invoice Date,Invoice Tax Amount,Invoice Total Amount,Purchase Created Date,Order Number,Billing Information ID,Payment Type,Currency ID,Purchase Chargeback?
405952270,2013-06-22T20:21:58Z,Songs,295740275,Where the Boat Leaves From,The Warner Music Group,295740272,The Foundation (Deluxe Version),$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.4 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.30.1,128.61.36.116,,113055151732,06/26/2013,$0.32,$4.19,2013-06-22T20:21:58Z,MHL57BD2YX,500000028518561,MasterCard,USD,No
405952270,2013-06-11T20:07:23Z,Songs,436375665,Country Sh*t (Remix) [feat. Ludacris & Bun B],The Universal Music Group,436375662,Country Sh*t (Remix) [feat. Ludacris & Bun B] - Single,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.4 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.30.1,128.61.36.116,,137054390901,06/15/2013,$0.11,$1.40,2013-06-11T20:07:23Z,MHL55JS584,500000028518561,MasterCard,USD,No
405952270,2013-05-12T23:43:11Z,Songs,259754054,Last Dollar (Fly Away),Curb Records,259754050,Let It Go,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.2 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.27.1,128.61.36.116,,182053204952,05/16/2013,$0.11,$1.40,2013-05-12T23:43:11Z,MHL51F0HKM,500000028518561,MasterCard,USD,No
405952270,2013-05-09T03:55:28Z,Songs,539428841,Jump Right In,The Warner Music Group,539428840,Uncaged,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.2 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.27.1,70.138.59.13,,115053146714,05/12/2013,$0.11,$1.40,2013-05-09T03:55:28Z,MHL50XMKL1,500000028518561,MasterCard,USD,No
405952270,2013-03-25T02:43:50Z,Songs,266075284,Whole Lotta Love,The Warner Music Group,266075192,Mothership (Remastered),$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.2 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.27.1,70.138.59.13,,113049459997,03/24/2013,$0.11,$1.40,2013-03-25T02:43:50Z,MHL4TDHXSB,500000028518561,Store Credit,USD,No
405952270,2013-03-23T20:01:11Z,Songs,496363003,The Nosebleed Section,The Universal Music Group,496362961,State of the Art,$0.99,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.2 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.27.1,70.138.59.13,,194049530600,03/24/2013,$0.19,$2.47,2013-03-23T19:59:21Z,MHL4T6W835,500000028518561,Store Credit,USD,No
405952270,2013-03-23T19:59:21Z,Songs,280508856,Good Day,The Universal Music Group,280508835,Good Day - Single,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.2 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.27.1,70.138.59.13,,194049530600,03/24/2013,$0.19,$2.47,2013-03-23T19:59:21Z,MHL4T6W835,500000028518561,Store Credit,USD,No
405952270,2013-03-16T03:41:02Z,Songs,600730160,Started from the Bottom,The Universal Music Group,600730144,Started from the Bottom - Single,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.2 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.27.1,128.61.101.98,,134049144128,03/16/2013,$0.11,$1.40,2013-03-16T03:41:02Z,MHL4S2LWNV,500000028518561,Store Credit,USD,No
405952270,2013-03-11T22:58:32Z,Songs,578036590,Love Sosa,The Universal Music Group,578036589,Finally Rich (Deluxe Version),$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.2 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.27.1,128.61.101.98,,153048847881,03/12/2013,$0.29,$3.86,2013-03-11T21:40:07Z,MHL4QH4KD7,500000028518561,Store Credit,USD,No
405952270,2013-03-11T22:58:14Z,Songs,589188447,All Gold Everything,The Universal Music Group,589188437,All Gold Everything - Single,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.2 (Windows; Microsoft Windows 8 x64 Business Edition (Build 9200)) AppleWebKit/536.27.1,128.61.101.98,,153048847881,03/12/2013,$0.29,$3.86,2013-03-11T21:40:07Z,MHL4QH4KD7,500000028518561,Store Credit,USD,No
405952270,2013-03-11T21:40:07Z,Songs,462129060,The Thizzle Dance (Mixed Version by DJ Vlad),IODA,462129011,Don't Hate the Playa Hate the Game #4 - Hosted by DJ Vlad,$0.99,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.1 (Windows; (Build 9200)) AppleWebKit/536.27.1,128.61.101.98,,153048847881,03/12/2013,$0.29,$3.86,2013-03-11T21:40:07Z,MHL4QH4KD7,500000028518561,Store Credit,USD,No
405952270,2013-03-06T15:42:05Z,Songs,216114464,Renegade,The Universal Music Group,216114339,The Blueprint,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.1 (Windows; (Build 9200)) AppleWebKit/536.27.1,128.61.34.137,,196048537016,03/07/2013,$0.11,$1.40,2013-03-06T15:42:05Z,MHL4NNY5B8,500000028518561,Store Credit,USD,No
405952270,2013-02-19T00:01:39Z,Songs,266075721,Trampled Under Foot,The Warner Music Group,266075192,Mothership (Remastered),$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.1 (Windows; (Build 9200)) AppleWebKit/536.27.1,128.61.46.21,,130048330374,02/19/2013,$0.11,$1.40,2013-02-19T00:01:39Z,MHL4LHKTD5,500000028518561,Store Credit,USD,No
405952270,2013-02-14T22:47:05Z,Songs,175541237,Turn the World Around,Sony Music,175538763,The Essential Harry Belafonte,$0.99,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.1 (Windows; (Build 9200)) AppleWebKit/536.27.1,128.61.101.98,,186047494352,02/15/2013,$0.08,$1.07,2013-02-14T22:47:05Z,MHL4KZSGMS,500000028518561,Store Credit,USD,No
405952270,2013-02-12T02:38:50Z,Songs,267976262,That's All,The Warner Music Group,267976201,Genesis (Remastered),$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.1 (Windows; (Build 9200)) AppleWebKit/536.27.1,128.61.101.98,,165047291889,02/12/2013,$0.21,$2.79,2013-02-12T02:32:51Z,MHL4KM2GB9,500000028518561,Store Credit,USD,No
405952270,2013-02-12T02:32:51Z,Songs,510168338,Blown Away,Sony Music,510168255,Blown Away,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.1 (Windows; (Build 9200)) AppleWebKit/536.27.1,128.61.101.98,,165047291889,02/12/2013,$0.21,$2.79,2013-02-12T02:32:51Z,MHL4KM2GB9,500000028518561,Store Credit,USD,No
405952270,2013-01-23T01:43:59Z,Songs,401136642,Taxman,Project Bastille,401136641,Revolver,$1.29,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.1 (Windows; (Build 9200)) AppleWebKit/536.27.1,128.61.101.98,,212046341306,01/26/2013,$0.11,$1.40,2013-01-23T01:43:59Z,MHL4GW4KHD,500000028518561,MasterCard,USD,No
405952270,2012-12-17T23:07:38Z,Songs,535335300,Express Yourself,Sony Music,535335292,Express Yourself - Single,$1.29,384CC960.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.76F469D1,iTunes/11.0.1 (Windows; (Build 9200)) AppleWebKit/536.27.1,70.138.59.13,,160043768002,12/21/2012,$0.11,$1.40,2012-12-17T23:07:38Z,MHL49GLZMX,500000027407193,MasterCard,USD,No
405952270,2012-11-19T19:02:49Z,Songs,440260606,Sookie Now (feat. David Banner),The Universal Music Group,440260602,R4 the Prequel - EP,$1.29,0026B0DFEBEA,iTunes/10.7 (Macintosh; Intel Mac OS X 10.6.8) AppleWebKit/534.57.2,128.61.101.196,,143042245265,11/22/2012,$0.11,$1.40,2012-11-19T19:02:49Z,MHL45DVH8H,500000007153887,MasterCard,USD,No
405952270,2012-11-18T03:17:00Z,Songs,549182482,Cruise,The Universal Music Group,549182478,It'z Just What We Do - EP,$0.00,0026B0DFEBEA,iTunes/10.7 (Macintosh; Intel Mac OS X 10.6.8) AppleWebKit/534.57.2,128.61.55.131,,177042047025,11/19/2012,$0.00,$0.00,2012-11-18T03:17:00Z,MHL4561V07,500000007153887,MasterCard,USD,No
405952270,2012-09-29T19:35:35Z,Songs,526905393,In My Mind (Axwell Mix),The Warner Music Group,,,$1.29,0026B0DFEBEA,iTunes/10.6.3 (Macintosh; Intel Mac OS X 10.6.8) AppleWebKit/534.57.2,128.61.58.65,,157039800788,10/03/2012,$0.21,$2.79,2012-09-29T19:34:31Z,MHL3YVSQ5T,500000007153887,MasterCard,USD,No
405952270,2012-09-29T19:34:31Z,Songs,563538733,Dont You Worry Dont You Worry Child - Tribute to Swedish House Mafia,Zoningo LLC (formerly WaTunes),,,$1.29,0026B0DFEBEA,iTunes/10.6.3 (Macintosh; Intel Mac OS X 10.6.8) AppleWebKit/534.57.2,128.61.58.65,,157039800788,10/03/2012,$0.21,$2.79,2012-09-29T19:34:31Z,MHL3YVSQ5T,500000007153887,MasterCard,USD,No
