"Previewed Item Description","Date Created","Item Reference Number"
"Netflix vs Blockbuster - The Digital Divide | 4",2018-04-20T02:19:07.074Z,1000401751690
"Netflix vs Blockbuster - HBO Gets In The Ring | 5",2018-05-02T02:36:01.716Z,1000402150252
