"App name","Apple Id Number","Client Id","End Time","Event Date Time","Event Type","Host App Name","Host App Version","In-Car Service","OS Version","Play Count","Play Duration","Start Time","Store Front","Timezone Offset Minutes","User Agent"
"Apple Music","405952270","4zrFAEcbTKIpiUuQhb3rGMCj","2019-03-09T20:02:07.974Z","2019-03-09T05:00:00Z","playsSummary","","","CarPlay","12.1.4","11","2194411","2019-03-08T16:04:49.997Z","United States","300","Music/3.1 iOS/12.1.4 model/iPhone11,2 hwp/t8020 build/16D57 (6; dt:185)"
"Apple Music","405952270","4zrFAEcbTKIpiUuQhb3rGMCj","2019-08-30T00:58:50.234Z","2019-08-29T06:00:00Z","playsSummary","","","CarPlay","12.4","20","1640856","2019-08-29T00:10:11.438Z","United States","360","Music/3.1 iOS/12.4 model/iPhone11,2 hwp/t8020 build/16G77 (6; dt:185)"
"Apple Music","405952270","4zrFAEcbTKIpiUuQhb3rGMCj","2019-04-07T14:51:02.940Z","2019-04-07T04:00:00Z","playsSummary","","","CarPlay","12.1.4","43","2608383","2019-04-06T02:00:27.427Z","United States","240","Music/3.1 iOS/12.1.4 model/iPhone11,2 hwp/t8020 build/16D57 (6; dt:185)"
"Apple Music","405952270","4zkqoFarP1k2tMeXK8v49HNv","2019-12-27T03:42:10.409Z","2019-12-26T06:00:00Z","playsSummary","","","CarPlay","13.3","2","218890","2019-12-20T20:10:39.353Z","United States","360","Music/3.1 iOS/13.3 model/iPhone11,2 hwp/t8020 build/17C54 (6; dt:185)"
"Apple Music","405952270","4zrFAEcbTKIpiUuQhb3rGMCj","2019-03-08T16:00:08.283Z","2019-03-08T05:00:00Z","playsSummary","","","CarPlay","12.1.4","65","7050146","2019-03-07T15:55:27.548Z","United States","300","Music/3.1 iOS/12.1.4 model/iPhone11,2 hwp/t8020 build/16D57 (6; dt:185)"
"Apple Music","405952270","4zkqoFarP1k2tMeXK8v49HNv","2020-02-27T00:47:54.046Z","2020-02-26T06:00:00Z","playsSummary","","","CarPlay","13.3.1","37","5591850","2020-02-26T00:07:10.303Z","United States","360","Music/3.1 iOS/13.3.1 model/iPhone11,2 hwp/t8020 build/17D50 (6; dt:185)"
"Apple Music","405952270","4zinoGmt093JFgAQMlR2JWLO","2018-11-11T13:46:37.629Z","2018-11-11T07:00:00Z","playsSummary","","","CarPlay","12.1","13","1546837","2018-11-10T00:45:35.279Z","United States","420","Music/3.1 iOS/12.1 model/iPhone11,2 hwp/t8020 build/16B92 (6; dt:185)"
"Apple Music","405952270","4zrFAEcbTKIpiUuQhb3rGMCj","2019-09-01T16:46:35.427Z","2019-09-01T06:00:00Z","playsSummary","","","CarPlay","12.4","86","8468301","2019-08-31T13:41:48.084Z","United States","360","Music/3.1 iOS/12.4 model/iPhone11,2 hwp/t8020 build/16G77 (6; dt:185)"
