"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
4594,8,2020-05-06T19:45:54.383Z,2021-12-02T00:50:35.610Z,Playlist,"Sweet K's Mix","Turnstile - MYSTERY",No,"United States",256000769,1576430193
2,2,2021-12-01T22:25:31.292Z,2021-12-01T22:31:49.310Z,Playlist,N/A,"Ricky Martin - Livin' la Vida Loca",No,"United States","pl.f75fd86cd6fd4786b99cd25390cf5fe6",192821659
5,1,2021-11-10T15:43:17.831Z,2021-12-01T14:57:50.760Z,Playlist,"’60s Dance Party Essentials","The Contours - Do You Love Me (Single)",No,"United States",256003849,1443993934
14,9,2021-11-26T15:38:30.496Z,2021-12-01T14:57:20.183Z,Playlist,"Today’s Hits","Drake - Knife Talk (feat. 21 Savage & Project Pat)",No,"United States",256001289,1584281787
13,2,2021-11-15T23:33:43.471Z,2021-11-30T15:26:35.680Z,Album,"Tracy Byrd - Live at Billy Bob's Texas","Tracy Byrd - I'm From the Country (Live)",No,"United States",1477112784,1477112951
65,8,2021-10-08T20:51:33.558Z,2021-11-27T23:12:22.713Z,Playlist,"I Wanna Go Fast","Metallica - For Whom the Bell Tolls",No,"United States",256004097,579149036
11,1,2021-11-17T00:57:45.539Z,2021-11-27T03:03:32.021Z,Album,"Petula Clark - The Pye Anthology","Petula Clark - The World Song",No,"United States",1193767367,1193767912
2,1,2021-11-20T16:42:13.916Z,2021-11-26T16:34:18.986Z,Album,"Delta 5 - Mind Your Own Business","Delta 5 - Mind Your Own Business",No,"United States",336748998,336749061
6,6,2021-11-26T15:20:32.373Z,2021-11-26T15:36:00.191Z,Album,"Mannequin Pussy - Perfect - EP","Mannequin Pussy - Darling",No,"United States",1555999100,1555999105
2,1,2021-11-14T19:19:57.204Z,2021-11-25T18:06:07.790Z,Album,"HAIM - Women In Music Pt. III","HAIM - The Steps",No,"United States",1500345235,1500345237
1,1,2021-11-24T20:27:28.530Z,2021-11-24T20:27:28.518Z,Album,"Disclosure - Settle (Deluxe Version)","Disclosure - Latch (feat. Sam Smith)",No,"United States",1440862011,1440862129
139,4,2021-11-15T17:24:02.821Z,2021-11-24T00:25:57.221Z,Playlist,Workout,"ZZ Top - Just Got Paid",No,"United States",256001805,655220514
7,7,2021-11-23T20:38:34.532Z,2021-11-23T20:57:39.195Z,Playlist,"Baby Driver (Music From the Motion Picture)","Kashmere Stage Band - Kashmere",No,"United States",256003077,297641309
2,2,2021-11-23T20:02:44.197Z,2021-11-23T20:07:28.909Z,Album,"Kanye West - Donda","Kanye West - God Breathed",No,"United States",1587795158,1587795276
1,1,2021-11-23T19:52:45.615Z,2021-11-23T19:52:45.602Z,Playlist,"Rap Life","Gunna & Future - Too Easy",No,"United States",256002313,1587196023
26,13,2021-11-22T18:01:52.832Z,2021-11-22T19:48:51.949Z,Playlist,"Summer 2k17","Passion Pit - Sleepyhead",No,"United States",256002561,365805236
8,8,2021-11-20T21:56:15.437Z,2021-11-20T22:06:45.499Z,Playlist,N/A,"OutKast - B.O.B. (Bombs Over Baghdad)",No,"United States","pl.c9e703f6ab4f4abb9d0d66bb9f6cca09",255837382
42,3,2021-10-25T20:05:07.313Z,2021-11-20T21:51:33.043Z,Album,"Turnstile - GLOW ON","Turnstile - HUMANOID / SHAKE IT UP",No,"United States",1576430192,1576430738
2,2,2021-11-20T16:42:31.722Z,2021-11-20T18:40:03.672Z,Album,"Luke Combs - What You See Ain't Always What You Get (Deluxe Edition)","Luke Combs - Lovin' on You",No,"United States",1527782144,1527782149
4,4,2021-11-20T16:17:26.602Z,2021-11-20T16:31:42.740Z,Playlist,N/A,"Bad Bunny - Pa Ti (feat. Bryant Myers)",No,"United States","pl.1c35ac10cfe848aaa19f68ebe62ea46e",1470493820
1,1,2021-11-20T16:16:39.116Z,2021-11-20T16:16:39.060Z,Playlist,N/A,"Lady Gaga - Bad Romance",No,"United States","pl.9c6636d6f4474a92b706c414fb6411ed",1476727670
,,2021-11-20T00:25:52.809Z,2021-11-20T00:18:47.069Z,Album,"Tyler, The Creator - Flower Boy","Tyler, The Creator - See You Again (feat. Kali Uchis)",No,"United States",1254572564,1254572572
2,2,2021-11-20T00:20:53.776Z,2021-11-20T00:15:25.886Z,Album,"City Girls - Twerkulator - Single","City Girls - Twerkulator",No,"United States",1567979765,1567980487
3,3,2021-11-19T16:38:07.259Z,2021-11-19T16:49:54.555Z,Playlist,Funk/Disco,"Midnight Star - Operator",No,"United States",256001793,344598675
7,7,2021-11-18T19:19:15.852Z,2021-11-18T19:35:42.163Z,Album,"Dua Lipa - Future Nostalgia","Dua Lipa - Hallucinate",No,"United States",1538003494,1538003853
13,1,2021-11-14T23:42:32.636Z,2021-11-18T19:13:02.511Z,Album,"HAIM - Women In Music Pt. III (Expanded Edition)","HAIM - Los Angeles",No,"United States",1550175828,1550175829
1,1,2021-11-17T17:29:14.049Z,2021-11-17T17:29:14.036Z,Playlist,N/A,"Ed Sheeran - Shivers",No,"United States","pl.f820ed7063f9447f8751abf885525698",1581087034
6,6,2021-11-16T19:14:19.726Z,2021-11-16T20:32:21.556Z,Album,"Taylor Swift - Red (Taylor’s Version) (+ A Message From Taylor)","Taylor Swift - 22 (Taylor's Version)",No,"United States",1590368448,1590368457
2,2,2021-11-16T19:13:36.194Z,2021-11-16T19:13:43.503Z,Playlist,N/A,"Taylor Swift - Fifteen (Taylor’s Version)",No,"United States","pl.3950454ced8c45a3b0cc693c2a7db97b",1552791240
12,12,2021-11-16T19:09:43.613Z,2021-11-16T19:12:10.453Z,Album,"Taylor Swift - Red (Taylor's Version) [Video Deluxe]","Taylor Swift - Red (Taylor's Version)",No,"United States",1595423133,1595423135
1,1,2021-11-15T23:47:25.303Z,2021-11-15T23:47:25.271Z,Album,"Bruno Mars, Anderson .Paak & Silk Sonic - Leave The Door Open - Single","Bruno Mars, Anderson .Paak & Silk Sonic - Leave The Door Open",No,"United States",1556096966,1556097162
1,1,2021-11-15T23:45:13.931Z,2021-11-15T23:45:13.404Z,Album,"Conchita Velasco - Singles Collection","Conchita Velasco - Calor",No,"United States",160259514,160260375
1,1,2021-11-15T23:40:57.199Z,2021-11-15T23:40:57.149Z,Album,"Apollo 440 - Dude Descending a Staircase","Apollo 440 - Time Is Running Out",No,"United States",268425126,268425383
1,1,2021-11-15T23:36:29.699Z,2021-11-15T23:36:29.614Z,Album,"Tiësto - Together","Tiësto & SWACQ - Party Time",No,"United States",1462924384,1462924391
4,1,2021-10-29T21:58:34.555Z,2021-11-15T23:29:38.745Z,Album,"LEN - Steal My Sunshine - Single","LEN - Steal My Sunshine",No,"United States",459816205,459816208
4,1,2021-10-29T21:50:07.059Z,2021-11-15T23:24:56.618Z,Album,"Baby Keem & Kendrick Lamar - family ties - Single","Baby Keem & Kendrick Lamar - family ties",No,"United States",1581180940,1581180951
13,13,2021-11-15T22:48:25.730Z,2021-11-15T23:11:10.181Z,Playlist,"Get Up! Mix","Dr. Dre - Forgot About Dre (feat. Eminem)",No,"United States","pl.pm-20e9f373919da0800fe3d4a83eba3ab0",1440783376
5,5,2021-11-14T23:27:56.507Z,2021-11-14T23:40:21.732Z,Playlist,N/A,"Khruangbin - Summer Madness (Exclusive Cover Version)",No,"United States","pl.c26221f1878b44daacc295d42c5d5245",1537432686
11,11,2021-11-11T22:53:10.788Z,2021-11-11T23:24:47.061Z,Playlist,N/A,"Michael Jackson - Thriller",No,"United States","pl.f475b81eaf7546ffb8ffd20889f37032",269573303
75,8,2021-09-24T20:47:23.359Z,2021-11-11T20:01:45.096Z,Playlist,Rock,"The Band - Up On Cripple Creek (Remastered)",No,"United States",256001797,1440847004
7,7,2021-11-11T18:36:18.511Z,2021-11-11T19:03:31.782Z,Playlist,"Kanye West: Next Steps","Kanye West - See You In My Nightmares (feat. Lil Wayne)",No,"United States",256001037,1441410417
26,1,2021-10-21T18:32:53.304Z,2021-11-11T18:35:41.855Z,Playlist,"Soul Jazz Essentials","Dr. Lonnie Smith - Seesaw",No,"United States",256003597,716428432
183,2,2021-08-31T13:54:13.659Z,2021-11-10T17:46:19.219Z,Playlist,Country,"George Strait - Here for a Good Time",No,"United States",256000529,456127779
7,7,2021-11-08T23:21:20.432Z,2021-11-09T01:32:56.618Z,Playlist,"2000s Hip-Hop Essentials","Drake - Best I Ever Had",No,"United States",256003841,1452017954
13,13,2021-11-08T14:42:16.604Z,2021-11-08T16:49:58.932Z,Album,"Kendrick Lamar - good kid, m.A.A.d city (Deluxe Version)","Kendrick Lamar - Hood Politics",No,"United States",622710488,974189356
6,6,2021-11-08T14:40:05.034Z,2021-11-08T14:42:08.448Z,Album,"Kendrick Lamar - DAMN.","Kendrick Lamar - Swimming Pools (Drank) [Extended Version]",No,"United States",1223592280,622714996
7,7,2021-11-08T14:40:05.017Z,2021-11-08T13:46:04.328Z,Playlist,"My Shazam Tracks","Brantley Gilbert - The Worst Country Song Of All Time (feat. Toby Keith & Hardy)",No,"United States",256003085,1570915955
2,2,2021-11-06T15:01:11.065Z,2021-11-06T15:05:23.653Z,Playlist,N/A,"Kendrick Lamar - Alright",No,"United States","pl.8155ebe08de7423ca2b29929c8adeebd",1440829463
