"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
3,3,2018-11-29T23:03:31.402Z,2018-11-29T23:03:38.515Z,Playlist,"Kendrick Lamar Essentials","Kendrick Lamar - Backseat Freestyle",No,"United States","pl.8155ebe08de7423ca2b29929c8adeebd",622711058
6,6,2018-11-29T15:48:32.463Z,2018-11-29T15:56:38.977Z,Album,"Rae Sremmurd - SremmLife","Rae Sremmurd - Come Get Her",No,"United States",948398152,948398173
10,10,2018-11-29T15:05:51.936Z,2018-11-29T15:47:06.142Z,Playlist,"College Rap","Rae Sremmurd - No Type",No,"United States",256000777,948398183
13,13,2018-11-28T22:25:53.668Z,2018-11-28T22:51:34.541Z,Playlist,"Rihanna Essentials","Rihanna and Kanye West and Paul McCartney - FourFiveSeconds",No,"United States","pl.d549e09c35de455c8aaed84684898d01",961384862
6,6,2018-11-28T22:23:43.707Z,2018-11-28T22:25:28.890Z,Playlist,"Pure Party","Rihanna - Don't Stop the Music",No,"United States",256002821,1168770971
6,6,2018-11-28T02:28:14.184Z,2018-11-28T02:33:43.749Z,Playlist,"Queen Video Essentials","Killer Queen (Top of the Pops, 1974)",No,"United States","pl.c4416a3095ea4384b3c3f7926e43f460",1438100478
3,3,2018-11-28T02:27:07.685Z,2018-11-28T02:27:22.043Z,Album,"Queen - A Night at the Opera","Queen - You're My Best Friend",No,"United States",930321179,930321193
1,1,2018-11-28T02:26:40.775Z,2018-11-28T02:26:40.506Z,Album,"Queen - A Day at the Races (Deluxe Edition)","Queen - Somebody to Love",No,"United States",934096787,934098962
9,9,2018-11-28T02:24:50.156Z,2018-11-28T02:25:39.270Z,Playlist,"Inspired by A Tribe Called Quest","Busta Rhymes & Chauncey Black - You Can't Hold the Torch",No,"United States","pl.69ee103e43614d1097da8dfefec2d880",157534967
3,3,2018-11-28T02:24:47.096Z,2018-11-28T02:24:36.460Z,Playlist,"Q-Tip’s Playlist","Ghostface Killah - Cherchez la ghost (feat. U-God)",No,"United States","pl.8ee4051d14e84664bebe4ccb68d81913",190403004
2,2,2018-11-28T02:22:26.608Z,2018-11-28T02:22:33.003Z,Playlist,"A Tribe Called Quest Essentials","A Tribe Called Quest - Scenario",No,"United States","pl.75c7de95980a4e0c8129cd783f8d5f13",278911479
1,1,2018-11-28T02:21:52.943Z,2018-11-28T02:21:52.289Z,Album,"A Tribe Called Quest - We got it from Here... Thank You 4 Your service","A Tribe Called Quest - We the People....",No,"United States",1173106678,1173106804
7,7,2018-11-27T17:58:37.664Z,2018-11-27T18:18:10.668Z,Playlist,"GSD Programming","Gorillaz - Feel Good Inc.",No,"United States",256002577,850571371
27,1,2018-10-26T14:27:55.252Z,2018-11-27T17:38:19.044Z,Playlist,"The A-List: Hip-Hop","Juice WRLD - Armed and Dangerous",No,"United States",256002313,1441184408
1,1,2018-11-27T17:37:59.395Z,2018-11-27T17:37:59.270Z,Playlist,"Guitar Throwback","Blur - Song 2",No,"United States","pl.299001f6c528460797ea61bac6522a81",726416473
