"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
16,16,2018-12-06T20:43:27.729Z,2018-12-06T23:36:20.758Z,Playlist,"Behind the Boards: Dr. Dre","Eazy-E - Boyz-n-the-Hood",No,"United States",256002573,1005226213
5,2,2018-11-29T22:31:28.605Z,2018-12-06T20:03:17.706Z,Album,"A Tribe Called Quest - The Low End Theory","A Tribe Called Quest - Scenario",No,"United States",278911460,278911479
3,2,2018-12-05T14:57:45.097Z,2018-12-06T19:58:54.239Z,Album,"Blake Shelton - Tequila Sheila (Friends and Heroes Session) - Single","Blake Shelton - Tequila Sheila (Friends and Heroes Session)",No,"United States",1440592571,1440592575
2,2,2018-12-06T19:16:33.782Z,2018-12-06T19:19:31.600Z,Album,"Midland - East Bound And Down - Single","Midland - East Bound And Down",No,"United States",1441462533,1441462781
1,1,2018-12-06T14:46:57.739Z,2018-12-06T14:46:57.726Z,"Radio Station",N/A,N/A,No,"United States",ra.840950253,840950253
27,4,2018-12-05T15:09:03.976Z,2018-12-06T00:37:29.635Z,Playlist,"Summer 2k17","Jimmy Buffett - Volcano",No,"United States",256002561,96474
20,8,2018-12-03T18:12:29.867Z,2018-12-06T00:37:19.701Z,Album,"Frank Ocean - Channel ORANGE","Frank Ocean - Forrest Gump",No,"United States",541953504,541953615
108,11,2018-11-12T19:30:24.414Z,2018-12-05T23:31:08.299Z,Playlist,Rock,"Supertramp - Goodbye Stranger",No,"United States",256001797,391890703
2,2,2018-12-05T22:54:33.919Z,2018-12-05T22:57:37.944Z,Album,"Cardi B - Money - Single","Cardi B - Money",No,"United States",1439777399,1439777400
1,1,2018-12-05T22:52:36.355Z,2018-12-05T22:52:36.007Z,Album,"Wale - Free Lunch - EP","Wale - My Boy (feat. J. Cole) [Freestyle]",No,"United States",1435294159,1435294335
2,2,2018-12-05T21:41:06.016Z,2018-12-05T21:45:04.243Z,Album,"Ram Jam - The Very Best of Ram Jam","Ram Jam - Black Betty",No,"United States",216088276,216088341
40,40,2018-12-04T19:37:34.504Z,2018-12-05T13:49:38.671Z,Playlist,Country,"David Allan Coe - If That Ain't Country",No,"United States",256000529,185988874
2,2,2018-12-04T18:11:55.190Z,2018-12-04T19:16:28.618Z,Playlist,"Hip-Hop Replay","Cardi B - Bodak Yellow",No,"United States",256000773,1368156577
3,3,2018-12-04T18:11:11.855Z,2018-12-04T18:11:14.084Z,Playlist,"Essential Christmas","Mariah Carey - All I Want For Christmas Is You",No,"United States","pl.b0e04e25887741ea845e1d5c88397fd4",585972803
1,1,2018-12-04T18:03:35.676Z,2018-12-04T18:07:49.988Z,Playlist,Headliners,"Beck - Where It's At",No,"United States","pl.03cac344bd5641cfb59d39626f62d098",19820530
19,19,2018-12-04T14:58:05.197Z,2018-12-04T15:57:25.160Z,Playlist,"Best of 2018: Editors’ Picks","The Weeknd - Call Out My Name",No,"United States","pl.757b83f216514160865f52cb05a88e87",1363310482
53,8,2018-11-05T14:20:57.791Z,2018-12-04T13:43:12.814Z,Playlist,Workout,"Nickelback - Animals",No,"United States",256001805,214403502
281,28,2018-10-30T22:39:33.245Z,2018-12-03T23:30:45.910Z,Playlist,"Sweet K's Mix","Rae Sremmurd - Black Beatles (feat. Gucci Mane)",No,"United States",256000769,1104588171
20,2,2018-12-01T20:34:34.173Z,2018-12-03T18:12:17.101Z,Album,"The Buggles - The Age of Plastic","The Buggles - Video Killed the Radio Star",No,"United States",5195711,5195697
8,8,2018-12-03T14:32:58.557Z,2018-12-03T14:38:11.824Z,Album,"Earl Sweatshirt - Some Rap Songs","Earl Sweatshirt - Nowhere2go",No,"United States",1442399872,1442400222
10,3,2018-11-14T14:22:12.034Z,2018-12-01T20:33:53.849Z,Album,"2 Chainz - Bigger Than You (feat. Drake & Quavo) - Single","2 Chainz - Bigger Than You (feat. Drake & Quavo)",No,"United States",1399226812,1399227222
4,4,2018-12-01T18:01:22.828Z,2018-12-01T20:29:37.576Z,Playlist,"New Music Mix","Midland - East Bound And Down",No,"United States","pl.pm-20e9f373919da080bb18d9f1775fa312",1441462781
7,7,2018-12-01T17:36:45.703Z,2018-12-01T17:57:36.617Z,Playlist,"Ludacris Essentials","Ludacris - Diamond In the Back",No,"United States","pl.0c7d08f05cab42298cbfa9069fcd6012",2863532
10,9,2018-11-28T22:21:54.918Z,2018-12-01T17:36:31.159Z,Album,"Nirvana - Nevermind","Nirvana - Smells Like Teen Spirit",No,"United States",485495703,485495704
8,2,2018-11-29T22:27:50.647Z,2018-11-30T22:01:56.957Z,Album,"Ariana Grande - thank u, next - Single","Ariana Grande - thank u, next",No,"United States",1441178207,1441178213
1,1,2018-11-30T19:52:08.222Z,2018-11-30T19:52:08.188Z,Album,"The Beaumonts - Hey Y'all It's","The Beaumonts - Change My Name",No,"United States",993953020,993953025
3,3,2018-11-30T19:52:03.146Z,2018-11-30T19:52:02.967Z,Album,"Asleep at the Wheel - Ride With Bob","Asleep at the Wheel - Bob Wills Is Still the King",No,"United States",3445437,3445433
3,3,2018-11-30T19:41:56.824Z,2018-11-30T19:49:03.967Z,Playlist,"Die Antwoord Essentials","Die Antwoord - Fatty Boom Boom",No,"United States","pl.e1c90114b8c34ab5a0127b130f37894d",1240204290
3,3,2018-11-30T18:41:20.127Z,2018-11-30T18:41:20.118Z,Album,"Nine Inch Nails - The Downward Spiral","Nine Inch Nails - Mr. Self Destruct",No,"United States",1147703572,1147703576
1,1,2018-11-30T18:35:44.614Z,2018-11-30T18:39:32.118Z,Playlist,"Nine Inch Nails: Influences","The Cure - Cold",No,"United States","pl.41021a2c71aa43cc9e25020f5fd5b7e6",286646481
3,3,2018-11-30T18:34:11.986Z,2018-11-30T18:35:22.590Z,Playlist,"Behind the Boards: Trent Reznor","Saul Williams - Break",No,"United States","pl.7d7a4299e7a541dfb8646c66fd628e3d",1038289224
,,2018-11-30T18:34:11.994Z,2018-11-30T18:33:39.972Z,Playlist,"2 Chainz: Influences ","Goodie Mob - Black Ice (Sky High) [feat. OutKast]",No,"United States","pl.097e561a6eac497c9d533041f1250a8c",304749201
14,14,2018-11-30T13:50:38.787Z,2018-11-30T17:33:40.477Z,Album,"Meek Mill - Championships","Meek Mill - Going Bad (feat. Drake)",No,"United States",1445099321,1445099332
10,10,2018-11-29T23:13:57.489Z,2018-11-30T13:50:22.991Z,Playlist,"Kendrick Lamar: Influences","Eric B. & Rakim - Microphone Fiend",No,"United States","pl.1d7a8ca5fb02453b803a03f234d907b7",57547437
5,5,2018-11-29T23:03:47.818Z,2018-11-29T23:13:46.068Z,Playlist,"Kendrick Lamar: Next Steps","Kendrick Lamar - The Recipe (feat. Dr. Dre) [Bonus Track]",No,"United States","pl.99e220c0b53b4a4dbf61fdb67c619e93",622711134
